[0000000025ns] mem rd: pc = 00000000, addr = 1c000000, data = 143fc00d
[0000000043ns] mem rd: pc = 00000000, addr = 1c000004, data = 038781ad
[0000000059ns] mem rd: pc = 00000000, addr = 1c000004, data = 038781ad
[0000000077ns] mem rd: pc = 00000000, addr = 1c000008, data = 03811c0e
[0000000095ns] mem rd: pc = 00000000, addr = 1c00000c, data = 290009ae
[0000000115ns] mem rd: pc = 00000000, addr = 1c00000c, data = 290009ae
[0000000133ns] mem rd: pc = 00000000, addr = 1c000010, data = 0382000e
[0000000181ns] mem rd: pc = 00000000, addr = 1c000010, data = 0382000e
[0000000199ns] mem rd: pc = 00000000, addr = 1c000014, data = 29000dae
[0000000215ns] mem rd: pc = 00000000, addr = 1c000014, data = 29000dae
[0000000231ns] mem rd: pc = 00000000, addr = 1c000018, data = 0380040e
[0000000277ns] mem rd: pc = 00000000, addr = 1c000018, data = 0380040e
[0000000293ns] mem rd: pc = 00000000, addr = 1c00001c, data = 290001ae
[0000000309ns] mem rd: pc = 00000000, addr = 1c00001c, data = 290001ae
[0000000329ns] mem rd: pc = 00000000, addr = 1c000020, data = 0015000e
[0000000385ns] mem rd: pc = 00000000, addr = 1c000020, data = 0015000e
[0000000403ns] mem rd: pc = 00000000, addr = 1c000024, data = 290005ae
[0000000421ns] mem rd: pc = 00000000, addr = 1c000024, data = 290005ae
[0000000439ns] mem rd: pc = 00000000, addr = 1c000028, data = 03800c0e
[0000000493ns] mem rd: pc = 00000000, addr = 1c000028, data = 03800c0e
[0000000511ns] mem rd: pc = 00000000, addr = 1c00002c, data = 29000dae
[0000000529ns] mem rd: pc = 00000000, addr = 1c00002c, data = 29000dae
[0000000545ns] mem rd: pc = 00000000, addr = 1c000030, data = 0015000e
[0000000589ns] mem rd: pc = 00000000, addr = 1c000030, data = 0015000e
[0000000607ns] mem rd: pc = 00000000, addr = 1c000034, data = 290011ae
[0000000625ns] mem rd: pc = 00000000, addr = 1c000034, data = 290011ae
[0000000645ns] mem rd: pc = 00000000, addr = 1c000038, data = 0380400f
[0000000689ns] mem rd: pc = 00000000, addr = 1c000038, data = 0380400f
[0000000707ns] mem rd: pc = 00000000, addr = 1c00003c, data = 280015ae
[0000000725ns] mem rd: pc = 00000000, addr = 1c00003c, data = 280015ae
[0000000747ns] mem rd: pc = 00000000, addr = 1c000040, data = 034005ce
